City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,bredasdorp,-34.5322,20.0403,23.48,69,55,4.7,ZA,1675493240
1,ornskoldsvik,63.2909,18.7153,-17.47,92,100,2.06,SE,1675493240
2,erenhot,43.6475,111.9767,-0.89,22,0,6.46,CN,1675493242
3,upernavik,72.7868,-56.1549,-25.73,99,100,2.27,GL,1675493243
4,beyneu,45.3167,55.2,2.39,74,96,5.44,KZ,1675493243
5,thompson,55.7435,-97.8558,-22.91,84,100,1.54,CA,1675493130
6,lumeje,-11.55,20.7833,19.08,91,100,1.7,AO,1675493244
7,khatanga,71.9667,102.5,-36.78,100,78,1.91,RU,1675493245
8,aswan,24.0934,32.907,11.61,50,0,3.6,EG,1675493246
9,taltal,-25.4,-70.4833,19.48,88,71,1.34,CL,1675492822
10,sehithwa,-20.4667,22.7167,24.17,73,100,2.75,BW,1675493246
11,busselton,-33.65,115.3333,32.24,28,5,4.41,AU,1675493247
12,komsomolskiy,40.4272,71.7189,11.4,58,72,4.12,UZ,1675493247
13,sao mateus do maranhao,-4.0417,-44.475,22.15,98,46,0.43,BR,1675493248
14,esperance,-33.8667,121.9,25.57,51,0,8.73,AU,1675493248
15,cape town,-33.9258,18.4232,25.06,64,0,1.54,ZA,1675493244
16,tavda,58.0425,65.2726,-8.67,76,50,2.61,RU,1675493249
17,ulladulla,-35.35,150.4667,23.37,39,0,5.99,AU,1675493249
18,rikitea,-23.1203,-134.9692,25.56,77,100,2.77,PF,1675493250
19,pisco,-13.7,-76.2167,21.03,94,100,1.03,PE,1675493250
20,butaritari,3.0707,172.7902,27.53,81,10,8.03,KI,1675493251
21,port elizabeth,-33.918,25.5701,26.72,75,20,7.2,ZA,1675493251
22,albany,42.6001,-73.9662,-22.98,50,5,1.79,US,1675493252
23,santa rosa,14.3122,121.1114,30.99,64,99,7.12,PH,1675493253
24,saint george,37.1041,-113.5841,8.33,53,0,3.6,US,1675493080
25,atuona,-9.8,-139.0333,26.14,71,1,8.98,PF,1675493109
26,akdagmadeni,39.6603,35.8836,-2.94,83,100,0.76,TR,1675493253
27,evensk,61.95,159.2333,-18.51,80,88,4.06,RU,1675493254
28,paignton,50.4357,-3.5679,8.69,82,100,0.45,GB,1675493254
29,punta arenas,-53.15,-70.9167,11.06,58,0,14.92,CL,1675493255
30,sao filipe,14.8961,-24.4956,21.22,70,100,6.92,CV,1675493255
31,batagay-alyta,67.8006,130.4114,-40.2,93,32,2.03,RU,1675493256
32,jamestown,42.097,-79.2353,-11.27,60,100,3.58,US,1675493071
33,east london,-33.0153,27.9116,25.52,69,20,4.63,ZA,1675493256
34,huanren,41.2647,125.3667,-2.72,41,1,0.53,CN,1675493257
35,hermanus,-34.4187,19.2345,24.89,65,0,2.53,ZA,1675493257
36,yar-sale,66.8333,70.8333,-14.93,99,100,3.0,RU,1675493257
37,port blair,11.6667,92.75,30.02,70,40,5.14,IN,1675493258
38,sabang,5.8933,95.3214,26.54,79,84,3.46,ID,1675493258
